Date,Network,Profile,Impressions,Engagements,AER
2023-10-28T11:00:00Z,Twitter,Perfil A,120,0,0
2023-10-19T14:48:00Z,Twitter,Perfil A,155,12,0.0774
2023-10-25T09:14:00Z,Twitter,Perfil A,238,7,0.0294
2023-09-12T19:00:00Z,Twitter,Perfil B,288,13,0.0451
2023-09-12T19:00:00Z,Twitter,Perfil B,293,16,0.0546
2023-10-16T12:29:00Z,TikTok,Perfil D,322,35,0.10869999999999999
2023-09-12T19:00:00Z,Twitter,Perfil B,356,15,0.0421
2023-09-29T14:36:00Z,TikTok,Perfil D,361,33,0.09140000000000001
2023-10-11T11:56:00Z,TikTok,Perfil D,379,30,0.07919999999999999
2023-10-18T06:15:00Z,TikTok,Perfil D,380,22,0.0579
2023-10-06T11:09:00Z,Twitter,Perfil B,389,45,0.1157
2023-10-18T16:20:00Z,Twitter,Perfil B,404,39,0.0965
2023-10-18T16:20:00Z,Twitter,Perfil B,408,42,0.10289999999999999
2023-09-26T18:32:00Z,TikTok,Perfil D,420,40,0.09519999999999999
2023-09-18T15:14:00Z,TikTok,Perfil D,425,36,0.08470000000000001
2023-09-22T17:02:00Z,TikTok,Perfil D,441,40,0.0907
2023-09-11T09:55:00Z,TikTok,Perfil D,441,36,0.0816
2023-10-18T16:20:00Z,Twitter,Perfil B,442,43,0.0973
2023-10-05T15:15:00Z,TikTok,Perfil D,464,61,0.1315
2023-10-10T12:55:00Z,TikTok,Perfil D,470,39,0.083
2023-09-06T10:14:00Z,TikTok,Perfil D,513,52,0.1014
2023-10-24T14:52:00Z,Twitter,Perfil A,516,13,0.0252
2023-08-30T08:20:00Z,TikTok,Perfil D,542,40,0.0738
2023-10-30T15:05:00Z,TikTok,Perfil D,573,35,0.0611
2023-09-15T12:23:00Z,TikTok,Perfil D,581,63,0.1084
2023-09-08T15:54:00Z,TikTok,Perfil D,613,71,0.1158
2023-10-23T14:42:00Z,TikTok,Perfil D,636,43,0.0676
2023-10-27T11:08:00Z,TikTok,Perfil D,638,19,0.0298
2023-06-29T13:28:00Z,TikTok,Perfil D,641,70,0.1092
2023-10-20T11:11:00Z,TikTok,Perfil D,656,41,0.0625
2023-10-25T10:31:00Z,TikTok,Perfil D,663,23,0.0347
2023-08-01T10:47:00Z,TikTok,Perfil D,677,61,0.0901
2023-08-11T14:30:00Z,TikTok,Perfil D,718,79,0.11
2023-07-21T07:54:00Z,TikTok,Perfil D,753,73,0.0969
2023-07-19T07:29:00Z,TikTok,Perfil D,761,85,0.1117
2023-07-31T06:52:00Z,TikTok,Perfil D,768,98,0.1276
2023-06-30T15:05:00Z,TikTok,Perfil D,769,60,0.078
2023-07-28T07:30:00Z,TikTok,Perfil D,776,79,0.1018
2023-07-17T07:55:00Z,TikTok,Perfil D,784,79,0.1008
2023-07-16T10:04:00Z,TikTok,Perfil D,784,90,0.1148
2023-07-13T08:19:00Z,TikTok,Perfil D,799,95,0.1189
2023-08-18T09:16:00Z,TikTok,Perfil D,820,51,0.0622
2023-08-31T13:15:00Z,TikTok,Perfil D,821,75,0.09140000000000001
2023-07-26T08:34:00Z,TikTok,Perfil D,832,68,0.0817
2023-08-04T11:00:00Z,TikTok,Perfil D,833,82,0.0984
2023-08-06T13:30:00Z,TikTok,Perfil D,868,58,0.0668
2023-09-20T16:05:00Z,TikTok,Perfil D,880,51,0.057999999999999996
2023-08-25T10:41:00Z,TikTok,Perfil D,964,74,0.0768
2023-08-16T13:50:00Z,TikTok,Perfil D,989,90,0.091
2023-09-13T11:01:00Z,TikTok,Perfil D,992,62,0.0625
2023-08-28T13:32:00Z,Instagram,Perfil C,999,0,0
2023-08-14T14:55:00Z,TikTok,Perfil D,1007,94,0.0933
2023-08-29T08:00:00Z,TikTok,Perfil D,1042,62,0.059500000000000004
2023-10-19T15:18:00Z,Instagram,Perfil C,1066,0,0
2023-09-01T08:07:00Z,TikTok,Perfil D,1075,71,0.066
2023-07-11T16:17:00Z,TikTok,Perfil D,1106,77,0.0696
