Date,Network,Profile,Impressions,Engagements,AER
2023-10-31T10:50:00Z,Twitter,Perfil A,163733,2467,0.0151
2023-10-31T10:50:00Z,Instagram,Perfil C,7332,0,0
2023-10-31T10:53:00Z,Instagram,Perfil C,6746,0,0
2023-10-31T10:58:00Z,Instagram,Perfil C,6453,1,2e-4
2023-10-31T11:04:00Z,Instagram,Perfil C,6270,0,0
2023-10-31T11:06:00Z,Instagram,Perfil C,6119,0,0
2023-10-31T13:15:00Z,Instagram,Perfil C,6099,0,0
2023-10-31T13:16:00Z,Instagram,Perfil C,5856,0,0
2023-10-31T13:17:00Z,Instagram,Perfil C,5834,0,0
2023-10-31T13:17:00Z,Instagram,Perfil C,6044,0,0
2023-10-31T15:16:00Z,Twitter,Perfil A,9324,362,0.0388
2023-10-31T18:27:00Z,Twitter,Perfil B,31352,508,0.016200000000000003
2023-11-01T09:44:00Z,Twitter,Perfil A,9182,538,0.058600000000000006
2023-11-01T15:30:00Z,Twitter,Perfil A,8778,955,0.10880000000000001
2023-11-01T15:35:00Z,Instagram,Perfil C,17290,576,0.0333
2023-11-01T15:36:00Z,Twitter,Perfil A,8306,252,0.030299999999999997
2023-11-01T17:40:00Z,TikTok,Perfil D,406,19,0.046799999999999994
2023-11-01T18:54:00Z,Twitter,Perfil B,37565,2600,0.0692
2023-11-02T09:38:00Z,Instagram,Perfil C,17567,497,0.028300000000000002
2023-11-02T17:05:00Z,Twitter,Perfil B,52897,2661,0.050300000000000004
2023-11-03T09:05:00Z,Instagram,Perfil C,9748,0,0
2023-11-03T09:05:00Z,Twitter,Perfil A,7663,106,0.0138
2023-11-03T19:30:00Z,Twitter,Perfil B,15766,216,0.0137
2023-11-05T05:01:00Z,Instagram,Perfil C,18381,446,0.024300000000000002
2023-11-05T09:09:00Z,Twitter,Perfil A,3460,86,0.024900000000000002
2023-11-06T13:08:00Z,TikTok,Perfil D,397,24,0.0605
2023-11-06T13:12:00Z,Twitter,Perfil A,105898,17315,0.1635
2023-11-06T18:00:00Z,Twitter,Perfil B,69034,1129,0.016399999999999998
2023-11-07T16:14:00Z,Twitter,Perfil A,140174,4058,0.028900000000000002
2023-11-07T16:15:00Z,Instagram,Perfil C,47070,2492,0.0529
2023-11-07T16:48:00Z,Twitter,Perfil B,20121,249,0.0124
2023-11-08T10:23:00Z,TikTok,Perfil D,439,52,0.1185
2023-11-08T11:19:00Z,Instagram,Perfil C,23662,2605,0.1101
2023-11-08T13:25:00Z,Twitter,Perfil A,91557,4078,0.044500000000000005
2023-11-08T16:36:00Z,Instagram,Perfil C,12946,805,0.0622
2023-11-08T18:00:00Z,Twitter,Perfil B,134066,3578,0.026699999999999998
2023-11-09T14:03:00Z,Twitter,Perfil A,12768,580,0.0454
2023-11-09T14:09:00Z,Instagram,Perfil C,20004,537,0.0268
2023-11-09T15:55:00Z,Twitter,Perfil B,235890,8761,0.0371
2023-11-10T06:47:00Z,Twitter,Perfil A,9628,392,0.0407
2023-11-10T08:30:00Z,TikTok,Perfil D,39004,648,0.0166
2023-11-10T18:29:00Z,Twitter,Perfil B,35502,775,0.0218
2023-11-11T08:41:00Z,TikTok,Perfil D,513,31,0.0604
2023-11-12T05:30:00Z,Twitter,Perfil A,8701,267,0.030699999999999998
2023-11-13T09:02:00Z,Twitter,Perfil A,48097,5685,0.1182
2023-11-13T11:29:00Z,TikTok,Perfil D,410,35,0.08539999999999999
2023-11-13T14:14:00Z,Twitter,Perfil A,37596,986,0.0262
2023-11-13T14:14:00Z,Instagram,Perfil C,18806,383,0.0204
2023-11-13T18:02:00Z,Twitter,Perfil B,101290,3690,0.0364
2023-11-14T14:45:00Z,Twitter,Perfil B,1171,44,0.037599999999999995
2023-11-14T14:46:00Z,Twitter,Perfil B,30558,3505,0.11470000000000001
2023-11-14T14:56:00Z,Twitter,Perfil B,578918,18937,0.0327
2023-11-14T18:10:00Z,Twitter,Perfil B,74930,4983,0.0665
2023-11-15T21:35:00Z,Twitter,Perfil B,50060,2935,0.058600000000000006
2023-11-16T09:06:00Z,TikTok,Perfil D,388,40,0.10310000000000001
2023-11-16T11:28:00Z,Twitter,Perfil B,343,20,0.0583
2023-11-16T15:49:00Z,Twitter,Perfil B,163809,3820,0.0233
2023-11-16T15:50:00Z,Instagram,Perfil C,10270,2,2e-4
2023-11-17T05:43:00Z,Instagram,Perfil C,14647,527,0.036000000000000004
2023-11-17T05:46:00Z,Twitter,Perfil A,29622,1087,0.036699999999999997
2023-11-17T05:50:00Z,Instagram,Perfil C,5332,0,0
2023-11-17T07:30:00Z,Twitter,Perfil B,15642,215,0.0137
2023-11-17T08:38:00Z,Instagram,Perfil C,4394,0,0
2023-11-17T08:38:00Z,Instagram,Perfil C,4123,11,0.0027
2023-11-17T08:41:00Z,Instagram,Perfil C,3985,0,0
2023-11-17T08:42:00Z,Instagram,Perfil C,3885,0,0
2023-11-17T10:26:00Z,TikTok,Perfil D,52839,979,0.018500000000000003
2023-11-17T11:47:00Z,Instagram,Perfil C,3952,0,0
2023-11-17T11:47:00Z,Instagram,Perfil C,3843,0,0
2023-11-17T11:47:00Z,Instagram,Perfil C,3784,0,0
2023-11-17T11:48:00Z,Instagram,Perfil C,3728,0,0
2023-11-17T11:48:00Z,Instagram,Perfil C,3708,0,0
2023-11-17T11:48:00Z,Instagram,Perfil C,3671,1,3e-4
2023-11-17T14:28:00Z,Twitter,Perfil A,7122,23,0.0032
2023-11-17T15:23:00Z,Instagram,Perfil C,4003,0,0
2023-11-17T15:23:00Z,Instagram,Perfil C,3847,0,0
2023-11-17T15:23:00Z,Instagram,Perfil C,3801,0,0
2023-11-17T15:23:00Z,Instagram,Perfil C,3740,1,3e-4
2023-11-17T15:43:00Z,Twitter,Perfil B,21329,460,0.0216
2023-11-18T05:37:00Z,Instagram,Perfil C,5158,0,0
2023-11-18T06:02:00Z,Twitter,Perfil A,7621,103,0.013500000000000002
2023-11-18T06:05:00Z,Instagram,Perfil C,3449,0,0
2023-11-18T07:36:00Z,Instagram,Perfil C,5151,0,0
2023-11-18T08:31:00Z,Instagram,Perfil C,5138,0,0
2023-11-18T08:36:00Z,Instagram,Perfil C,5005,0,0
2023-11-18T09:02:00Z,Instagram,Perfil C,9273,305,0.0329
2023-11-18T09:03:00Z,Twitter,Perfil A,10777,260,0.0241
2023-11-18T20:46:00Z,Twitter,Perfil A,10466,87,0.0083
2023-11-19T07:03:00Z,Instagram,Perfil C,6618,0,0
2023-11-19T07:04:00Z,Instagram,Perfil C,5937,0,0
2023-11-20T06:28:00Z,Twitter,Perfil A,17811,504,0.028300000000000002
2023-11-20T06:29:00Z,Instagram,Perfil C,7351,208,0.028300000000000002
2023-11-20T07:33:00Z,Instagram,Perfil C,8181,1,1e-4
