Date,Network,Profile,Impressions,Engagements,AER
10/31/2023 10:50 am,Twitter,Perfil A,163733,2467,0.0151
10/31/2023 10:50 am,Instagram,Perfil C,7332,0,0
10/31/2023 10:53 am,Instagram,Perfil C,6746,0,0
10/31/2023 10:58 am,Instagram,Perfil C,6453,1,2e-4
10/31/2023 11:04 am,Instagram,Perfil C,6270,0,0
10/31/2023 11:06 am,Instagram,Perfil C,6119,0,0
10/31/2023 1:15 pm,Instagram,Perfil C,6099,0,0
10/31/2023 1:16 pm,Instagram,Perfil C,5856,0,0
10/31/2023 1:17 pm,Instagram,Perfil C,5834,0,0
10/31/2023 1:17 pm,Instagram,Perfil C,6044,0,0
10/31/2023 3:16 pm,Twitter,Perfil A,9324,362,0.0388
10/31/2023 6:27 pm,Twitter,Perfil B,31352,508,0.016200000000000003
11/1/2023 9:44 am,Twitter,Perfil A,9182,538,0.058600000000000006
11/1/2023 3:30 pm,Twitter,Perfil A,8778,955,0.10880000000000001
11/1/2023 3:35 pm,Instagram,Perfil C,17290,576,0.0333
11/1/2023 3:36 pm,Twitter,Perfil A,8306,252,0.030299999999999997
11/1/2023 5:40 pm,TikTok,Perfil D,406,19,0.046799999999999994
11/1/2023 6:54 pm,Twitter,Perfil B,37565,2600,0.0692
11/2/2023 9:38 am,Instagram,Perfil C,17567,497,0.028300000000000002
11/2/2023 5:05 pm,Twitter,Perfil B,52897,2661,0.050300000000000004
11/3/2023 9:05 am,Instagram,Perfil C,9748,0,0
11/3/2023 9:05 am,Twitter,Perfil A,7663,106,0.0138
11/3/2023 7:30 pm,Twitter,Perfil B,15766,216,0.0137
11/5/2023 5:01 am,Instagram,Perfil C,18381,446,0.024300000000000002
11/5/2023 9:09 am,Twitter,Perfil A,3460,86,0.024900000000000002
11/6/2023 1:08 pm,TikTok,Perfil D,397,24,0.0605
11/6/2023 1:12 pm,Twitter,Perfil A,105898,17315,0.1635
11/6/2023 6:00 pm,Twitter,Perfil B,69034,1129,0.016399999999999998
11/7/2023 4:14 pm,Twitter,Perfil A,140174,4058,0.028900000000000002
11/7/2023 4:15 pm,Instagram,Perfil C,47070,2492,0.0529
11/7/2023 4:48 pm,Twitter,Perfil B,20121,249,0.0124
11/8/2023 10:23 am,TikTok,Perfil D,439,52,0.1185
11/8/2023 11:19 am,Instagram,Perfil C,23662,2605,0.1101
11/8/2023 1:25 pm,Twitter,Perfil A,91557,4078,0.044500000000000005
11/8/2023 4:36 pm,Instagram,Perfil C,12946,805,0.0622
11/8/2023 6:00 pm,Twitter,Perfil B,134066,3578,0.026699999999999998
11/9/2023 2:03 pm,Twitter,Perfil A,12768,580,0.0454
11/9/2023 2:09 pm,Instagram,Perfil C,20004,537,0.0268
11/9/2023 3:55 pm,Twitter,Perfil B,235890,8761,0.0371
11/10/2023 6:47 am,Twitter,Perfil A,9628,392,0.0407
11/10/2023 8:30 am,TikTok,Perfil D,39004,648,0.0166
11/10/2023 6:29 pm,Twitter,Perfil B,35502,775,0.0218
11/11/2023 8:41 am,TikTok,Perfil D,513,31,0.0604
11/12/2023 5:30 am,Twitter,Perfil A,8701,267,0.030699999999999998
11/13/2023 9:02 am,Twitter,Perfil A,48097,5685,0.1182
